POLYMER,CATEGORY,BRAND,GRADE,MFI,APPLICATION
HDPE FILM,HDPE - HD/HM FILM,Equate,6888,<1,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HDPE FILM,HDPE - HD/HM FILM,Sabic,952,<1,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HDPE FILM,HDPE - HD/HM FILM,Marlex,TR144,0.18,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HDPE FILM,HDPE - HD/HM FILM,Luban,6097,<1,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HDPE FILM,HDPE - HD/HM FILM,Luban,6095,<1,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HDPE FILM,HDPE - HD/HM FILM,Sabic,10851,<1,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HDPE FILM,HDPE - HD/HM FILM,Sabic,10750 ,<1,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HDPE FILM,HDPE - HD/HM FILM,Sabic,851,<1,"Garbage bags, Carry bags, Tarpolin Sheets, Covers "
HD INJECTION,HD INJECTION,Dow,17450,18,"Breakable Toys, Household items, Kitchen items "
HD INJECTION,HD INJECTION,Equate,8920,20,"Breakable Toys, Household items, Kitchen items "
HD INJECTION,HD INJECTION CAPS,Borouge,6562 P,1.5,Bottle Caps for Carbonised and Non-Carbonised 
HD INJECTION,HD INJECTION CAPS,Borouge,6561 N/P,1.5,Bottle Caps for Carbonised and Non-Carbonised 
HD BLOW,HD BLOW,Basell,5831 D,0.3,"Pot, Ball, Cann and other type of blow items"
HD BLOW,HD BLOW,Marlex,5502 BN,0.3,"Pot, Ball, Cann and other type of blow items"
HD BLOW,HD BLOW,Luban,6200,0.3,"Pot, Ball, Cann and other type of blow items"
HD BLOW,HD BLOW TANK,Marlex,50100,10,"100 Ltr  above Tanks for chemical, Food and Liquid Container"
HD BLOW,HD BLOW TANK,Equate,6147,9,"100 Ltr  above Tanks for chemical, Food and Liquid Container"
HD BLOW,HD BLOW TANK,Luban,6147,9,"100 Ltr  above Tanks for chemical, Food and Liquid Container"
HD PIPE,HD PIPE,Sabic,P6006 N,PE 100 Yrs,Drinking and waste water supply pipes
HD PIPE,HD PIPE,Sabic,P6006 B,PE 100 Yrs,Drinking and waste water supply pipes
HD PIPE,HD PIPE,Borouge,3490 LS/UV,PE 100 Yrs,Drinking and waste water supply pipes
HD PIPE,HD PIPE,Borouge,1440 B,PE 80 Yrs,Drinking and waste water supply pipes
LLDPE FILM ,LLDPE FILM - SLIP,Sabic,118 W,1,Can be used with 10 to 20% LDPE film.
LLDPE FILM ,LLDPE FILM - SLIP,Sabic,218 W,2,Can be used with 20% HDPE film.
LLDPE FILM ,LLDPE FILM - SLIP,Equate,7087,1,Can be used with 10 to 20% LDPE film.
LLDPE FILM ,LLDPE FILM - SLIP,Equate,7050,2,Can be used with 20% HDPE film.
LLDPE FILM ,LLDPE FILM - SLIP,Luban,7050,2,Can be used with 20% HDPE film.
LLDPE FILM ,LLDPE FILM - NON - SLIP,Sabic,118 N,1,Using with HDPE & LDPE films
LLDPE FILM ,LLDPE FILM - NON - SLIP,Sabic,218 N,2,Using with HDPE & LDPE films
LLDPE FILM ,LLDPE FILM - NON - SLIP,Equate,7047,1,Using with HDPE & LDPE films
LLDPE FILM ,LLDPE FILM - NON - SLIP,Luban,7059,2,Using with HDPE & LDPE films
LLDPE FILM ,LLDPE FILM - SHRINK,Borouge,FB 2230,0.2,"Bottle carry covers, Deep freeze packaging, Mulching sheet etc"
LLDPE FILM ,LLDPE FILM - SHRINK,Borouge,1200,0.2,"Bottle carry covers, Deep freeze packaging, Mulching sheet etc"
LLDPE FILM ,LLDPE FILM - DRIP IRRIGATION,Borouge,2270,0.2,All kind of irrigation pipes
LLDPE FILM ,LLDPE FILM - DRIP IRRIGATION,Borouge,1711,1.2,All kind of irrigation pipes
LLDPE FILM ,LLDPE FILM - ROTO MOLDING,Sabic,R 50035,5,"1000 ltr above tanks(Water tanks,Septic tanks, industrial tanks)"
LLDPE FILM ,LLDPE FILM - INJECTION,Sabic,M 500026,50,"Comp, closures, Automotive parts, Paint bucket lid etc"
LLDPE FILM ,LDPE FILM,Sabic,4023/24/25,4,General Purpose
LLDPE FILM ,LDPE FILM,Tasnee,4025,4,General Purpose
LLDPE FILM ,LDPE FILM,Basell,2427 K,4,General Purpose
LDPE - FOAM,LDPE - FOAM MATERIAL,Basell,2421 H,2,"Bubble sheet, bed & pillow foams"
LDPE - FOAM,LDPE - FOAM MATERIAL,Borouge,FT 6230,2,"Bubble sheet, bed & pillow foams"
LDPE - MILK GRADE,LDPE - MILK GRADE,Sabic,HP 823 J,0.8,"Milk, Oil, Ghee pouches"
LDPE - MILK GRADE,LDPE - MILK GRADE,Basell,2427 F,0.75,"Milk, Oil, Ghee pouches"
